timeToExpiry,a,b,rho,m,sigma,num_points
0.019966097035781328,-0.006974310019759763,0.05846641614434788,-0.00343229246572847,0.05758461664334091,0.12545385345209817,299
0.04168480348226854,-0.00538843033001843,0.03878423773317509,-0.01111866725651443,0.1189368233629024,0.14013447596289674,107
0.05660157388516467,-0.0011004214493017198,0.04604528678218758,-0.004997913943057972,0.06095906549842304,0.039021600752207675,188
0.08219178082191782,-0.006992978157551981,0.06764864601851683,-0.010224317990836196,0.08352949521490832,0.12060122391738827,84
0.10136986301369853,0.000695520578089873,0.03487101998601837,-0.00351666101225009,0.08432081507151803,0.016990669394158376,118
0.1205479452054794,0.00027537961340837197,0.041771502180990204,-0.004115460618957539,0.09167574974938891,0.02646014302853428,62
0.136986301369863,0.0011025014233212158,0.035691865991052354,-0.004571442426932174,0.10366192700267021,0.014934849572058612,142
0.1780821917808219,0.00114416400549448,0.04224989406164445,-0.016093667655964154,0.11849507137096399,0.02506299319632275,105
0.21643835616438348,0.0007672855076815556,0.05061859683386856,-0.015373337906852374,0.12558772250272085,0.03737100415920243,112
0.27123287671232876,0.001399993087298703,0.047255563479638996,-0.026299352043851247,0.17035941862903006,0.05598220793951159,79
0.3041095890410959,0.0020414511563334,0.051642467185572076,-0.022218255543653663,0.1497632238923694,0.03373962919403849,80
0.389041095890411,-0.05662568229089477,0.029153423124422376,-0.2885413968445697,1.804075437186066,0.2786397585446586,84
0.44657534246575337,-0.006654465212553521,0.08998521155093277,-0.034120229076476764,0.17352796279516175,0.1446724898846121,52
0.4739726027397259,-0.005079213626537169,0.09136036125431775,-0.030937809184432664,0.17017157258191182,0.13040712560668316,44
0.5232876712328768,-0.12801192793013133,1.7930251068588885,-0.9639340720426729,-0.7665372058370722,0.28653845108299913,82
0.5561643835616438,-0.7732506442397366,1.032998950339526,-0.6894042680957708,-0.8014070650445306,1.044886046327658,91
0.7726027397260271,0.014440062755037097,0.2832326309081859,-0.999,-0.25846799806042775,0.09029498005204602,102
0.8082191780821917,0.007922706605876588,0.07032287444569234,-0.047518956826760196,0.21225016366511965,0.049166157631061025,71
0.8493150684931509,0.010450436417755166,0.11601098145335917,-0.999,-0.2020154551201449,0.20721112352003132,105
1.0219178082191782,0.013592234247972986,0.05051978442091891,-0.0185094961995835,0.2760382998460517,0.02402583033266649,88
1.2684931506849317,-0.20489449297082402,1.1678353131716794,-0.9186881946595934,-0.8075741886453702,0.4902285034193057,85
1.7698630136986298,0.026012102149118234,0.04673318589257705,0.17803585158659274,0.3687552625665305,0.0010000692950638355,108
1.865753424657534,-2.8954671689661473,2.7363995597526274,-0.8456726338377164,-2.8486503049124825,2.0034599242715068,106
2.268493150684931,-0.3697945970749006,0.3799176794654065,0.2882217286734397,0.7098200489301574,1.1127592118652936,59
2.767123287671233,0.038209269513373195,0.05555049690182366,0.17710465403683967,0.4635161322020241,0.01160754445085159,74
